,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,99.552391,0.455469,0.399953,0.000000,44596.482516,38.164703,0.262583,0.028158,0.003798,0.003798,0.028158,0.262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,98.345578,4.294250,5.835125,0.000000,41019.648766,59.797109,0.225151,0.024332,0.004755,0.004755,0.024332,0.225151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,107.569625,4.316422,5.867188,0.000000,42375.849016,59.362922,0.378839,0.029672,0.004245,0.004245,0.029672,0.378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,56.736859,15.274188,14.326031,12.402797,0.000000,0.443844,21753.674766,29.061734,0.166547,0.057143,0.015151,0.004490,0.004490,0.015151,0.057143,0.166547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,25.630328,0.302922,0.224781,0.242141,0.000219,0.199672,16168.660609,10.949094,0.158224,0.067500,0.011828,0.002583,0.002583,0.011828,0.067500,0.158224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_3_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,352.093687,0.932187,59685.686359,232.134828,0.343094,0.017323,0.017323,0.343094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,296.550813,0.960172,1.111906,0.000000,44421.383781,92.049609,0.588948,0.062138,0.007596,0.007596,0.062138,0.588948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,267.076641,1.163625,1.217344,0.000000,40879.227797,119.342016,0.504896,0.053500,0.009483,0.009483,0.053500,0.504896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,287.614422,1.284734,1.292703,0.000000,42230.961438,114.059297,0.851969,0.066109,0.008865,0.008865,0.066109,0.851969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,172.624578,9.703266,0.561516,0.452172,0.000000,0.487766,21707.589969,35.546844,0.373187,0.127609,0.033010,0.008885,0.008885,0.033010,0.127609,0.373187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,110.518328,0.674813,0.556703,0.450859,0.000000,0.574078,16107.029656,12.460000,0.355870,0.151250,0.026594,0.005292,0.005292,0.026594,0.151250,0.355870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_64_3_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,108.104734,0.455844,59917.043375,86.663172,0.153094,0.008281,0.008281,0.153094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,83.783687,0.527359,0.416016,0.000000,44619.350688,47.449484,0.262583,0.028158,0.003798,0.003798,0.028158,0.262583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,80.039922,12.911766,25.742078,0.000000,41018.599578,61.449484,0.225151,0.024332,0.004755,0.004755,0.024332,0.225151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,93.289844,14.534937,20.645531,0.000000,42373.319906,53.616281,0.378839,0.029672,0.004245,0.004245,0.029672,0.378839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,28.621750,20.313000,24.923422,42.201719,0.000000,0.419719,21752.607781,22.839406,0.166547,0.057143,0.015151,0.004490,0.004490,0.015151,0.057143,0.166547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,5.293281,0.367281,0.238437,0.233641,0.000000,0.263750,16191.411094,17.627766,0.158224,0.067500,0.011828,0.002583,0.002583,0.011828,0.067500,0.158224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_128_1_conv4,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,1156.243688,2.947500,58938.922406,1240.844219,1.215875,0.057198,0.057198,1.215875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,966.266875,3.192328,2.934125,0.000000,43815.452656,482.146859,2.090052,0.216583,0.022139,0.022139,0.216583,2.090052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,838.631062,2.800813,2.483578,0.000000,40361.445125,499.636469,1.790823,0.185967,0.029126,0.029126,0.185967,1.790823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,911.409281,2.671031,2.595422,0.000000,41686.142906,514.182328,3.027875,0.232833,0.027906,0.027906,0.232833,3.027875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,519.050406,7.935891,1.276125,1.187797,0.000000,1.725375,21458.214984,118.505047,1.324016,0.449701,0.113865,0.027250,0.027250,0.113865,0.449701,1.324016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
