,,queuing delay phase 0,queuing delay phase 1,queuing delay phase 2,queuing delay phase 3,queuing delay phase 4,network delay phase 1,network delay phase 2,network delay phase 3,network delay phase 4,avg chunk delay dimension 1,avg chunk delay dimension 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,10637.375047,41.141516,26.290344,22.199562,0.000000,25.371422,8426.394188,3242.517313,22.728031,9.627865,1.642547,0.268729,0.268729,1.642547,9.627865,22.728031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_2_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,17445.487328,26.279609,43729.985000,15508.952812,9.717187,0.448427,0.448427,9.717187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,14706.144828,28.968328,29.185172,0.000000,31398.121703,5711.870703,16.710573,1.721852,0.168339,0.168339,1.721852,16.710573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,12580.789625,26.593391,40.830203,0.000000,29654.574141,5719.576844,14.316490,1.476940,0.224543,0.224543,1.476940,14.316490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,13579.863703,34.644141,34.462375,0.000000,30592.894500,7357.765219,24.219911,1.858240,0.216870,0.216870,1.858240,24.219911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,7599.229547,23.738031,33.758047,18.388156,0.014969,16.256484,16264.220266,1135.276437,10.586750,3.589813,0.902458,0.209990,0.209990,0.902458,3.589813,10.586750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,5611.605875,59.714937,12.129734,14.414062,0.000000,14.806156,11986.212391,467.466375,10.101839,4.279417,0.730328,0.119854,0.119854,0.730328,4.279417,10.101839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_3_conv1,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,19012.339953,25.989062,42267.185922,13914.375813,9.717187,0.448427,0.448427,9.717187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,16024.240922,25.940391,22.305641,0.000000,30219.934187,4945.287438,16.710573,1.721852,0.168339,0.168339,1.721852,16.710573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,13709.216797,29.439297,38.272000,0.000000,28629.893844,5001.194734,14.316490,1.476940,0.224543,0.224543,1.476940,14.316490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,14796.670078,33.789719,37.203469,0.000000,29528.354297,5081.099812,24.219911,1.858240,0.216870,0.216870,1.858240,24.219911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,8396.570672,31.524406,16.851453,15.897453,0.000000,20.340312,15660.720266,897.981984,10.586750,3.589812,0.902458,0.209990,0.209990,0.902458,3.589812,10.586750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,6111.297609,62.050469,12.121125,14.124172,0.000000,14.354359,11614.233656,349.687031,10.101839,4.279417,0.730328,0.119854,0.119854,0.730328,4.279417,10.101839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_3_conv2,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,41022.386656,92.248797,26135.962797,21778.002203,21.861750,1.007323,1.007323,21.861750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,36103.992281,182.000375,41.410422,0.000000,15769.273828,8104.075219,37.597328,3.872462,0.376956,0.376956,3.872462,37.597328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,28153.476344,188.959375,93.544500,0.000000,16661.069953,8897.979922,32.210578,3.321318,0.503366,0.503366,3.321318,32.210578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,33260.464781,109.636125,72.219625,0.000000,19397.127062,10504.661313,54.494318,4.180401,0.486677,0.486677,4.180401,54.494318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,17170.968812,149.509719,52.578187,47.126281,0.000000,36.466891,9633.347141,1553.289172,23.818969,8.076010,2.029141,0.470760,0.470760,2.029141,8.076010,23.818969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,13627.714641,129.352672,32.285359,27.249781,0.000000,25.949922,7705.407234,2088.251250,22.728031,9.627865,1.642547,0.268729,0.268729,1.642547,9.627865,22.728031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
layer_512_3_conv3,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,20587.224672,30.864187,40799.866078,12319.798812,9.717187,0.448427,0.448427,9.717187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,17351.543187,33.360844,34.813719,0.000000,29011.191438,4178.894234,16.710573,1.721852,0.168339,0.168339,1.721852,16.710573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,14846.451109,34.603969,35.578688,0.000000,27601.646906,4302.665781,14.316490,1.476940,0.224543,0.224543,1.476940,14.316490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,16027.595266,38.118250,45.573437,0.000000,28449.008000,4258.247938,24.219911,1.858240,0.216870,0.216870,1.858240,24.219911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,9098.792922,24.055641,17.903375,17.276937,0.000000,19.207359,15140.836687,728.394609,10.586750,3.589812,0.902458,0.209990,0.209990,0.902458,3.589812,10.586750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,6716.098172,20.334375,13.866500,16.392531,0.000000,17.348531,11200.379359,275.326641,10.101839,4.279417,0.730328,0.119854,0.119854,0.730328,4.279417,10.101839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1000,DDL_themis-Resnet50_DataParallel.txt-2d_switch.json-2d_switch_themis_scf.txt-100-16 64-6 1-25 100-1,0.000000,22114.864266,63.074734,39309.268797,20374.658266,18.977406,0.874583,0.874583,18.977406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_homo.json-3d_switch_homo_themis_scf.txt-100-16 8 8-4 4 1-25 25 100-1,0.000000,18309.493219,128.316453,42.094203,0.001063,28010.746438,8881.612578,32.636703,3.361818,0.327141,0.327141,3.361818,32.636703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_switch_hetero.json-3d_switch_hetero_themis_scf.txt-100-16 8 8-8 4 1-25 25 50-1,0.000000,15660.476984,105.595891,61.463172,0.000000,26728.544250,7539.778453,27.960719,2.883428,0.436967,0.436967,2.883428,27.960719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-3d_fc_ring_switch.json-3d_fc_ring_switch_themis_scf.txt-100-8 16 8-7 4 1-25 25 50-1,0.000000,16890.596000,114.959609,55.464906,0.003500,27564.305781,9988.871875,47.303990,3.629130,0.422464,0.422464,3.629130,47.303990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_switch_switch_switch.json-4d_ring_switch_switch_switch_themis_scf.txt-100-4 4 8 8-2 8 4 1-125 25 25 50-1,0.000000,9335.230656,125.138953,30.031750,25.935250,0.018469,21.817250,14817.924172,1590.230781,20.676281,7.010570,1.761615,0.408677,0.408677,1.761615,7.010570,20.676281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DDL_themis-Resnet50_DataParallel.txt-4d_ring_fc_ring_switch.json-4d_ring_fc_ring_switch_themis_scf.txt-100-4 8 4 8-2 7 6 1-187.5 25 25 100-1,0.000000,6945.192063,71.553109,19.134203,16.435266,0.004938,18.017703,10974.935953,813.424250,19.729266,8.357573,1.425844,0.233187,0.233187,1.425844,8.357573,19.729266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
